xMean,yMean,zMean,xVar,yVar,zVar,s2Mean,s2Var,tilt,energy,kurtosis,tag
1.220030,-10.224043,-0.911302,20.550098,38.971046,55.686340,221.594803,49393.636719,0.986058,55177.105469,6.831688,running
1.320579,-10.128771,-1.002755,20.664204,39.206951,58.148560,222.887177,51060.757813,0.983423,55498.906250,6.294785,running
1.315536,-10.060863,-1.204518,20.446957,38.843281,60.060108,223.273499,51374.718750,0.983329,55595.097656,6.182197,running
1.408036,-10.071637,-1.111555,20.635979,39.044079,61.413067,225.262802,51062.742188,0.981010,56090.437500,6.211880,running
1.340870,-10.260671,-1.244741,21.145269,37.109226,60.834702,227.239609,50613.695313,0.983348,56582.660156,6.288891,running
1.217234,-10.109503,-1.029953,20.335848,35.943737,56.464291,217.035599,44751.640625,0.985811,54041.851563,7.341288,running
1.145287,-10.215253,-1.061270,19.336643,35.739651,54.824196,216.248489,44262.417969,0.987662,53845.859375,7.591805,running
1.102044,-10.289876,-1.112300,18.857838,36.344460,55.093895,218.186493,44694.949219,0.988723,54328.425781,7.320135,running
1.240077,-10.448004,-1.043977,19.347725,36.710625,55.319767,222.719269,45046.160156,0.986203,55457.078125,6.982928,running
1.160329,-10.318412,-0.950277,19.862364,38.487186,55.950310,222.559830,45070.156250,0.987589,55417.382813,6.978564,running
1.274649,-10.128474,-1.001938,19.675821,39.164494,59.161381,222.742401,49623.843750,0.984529,55462.843750,7.055919,running
1.426319,-10.055773,-1.185021,20.552877,38.895546,60.619583,224.143036,50862.191406,0.980469,55811.613281,6.701914,running
1.408433,-10.057398,-1.099782,20.368771,38.707420,61.715179,224.650711,50647.648438,0.980948,55938.027344,6.759438,running
1.342681,-10.241872,-1.204881,20.795080,37.636688,61.123211,227.225311,50208.722656,0.983244,56579.105469,6.815581,running
1.270185,-10.155271,-1.014533,20.520611,37.336304,57.104034,220.271423,47116.914063,0.984714,54847.570313,7.716012,running
1.205351,-10.195455,-0.940440,20.265781,37.756817,53.315472,217.175522,46389.875000,0.986309,54076.710938,8.158402,running
1.122874,-10.280293,-1.100771,20.066135,38.038502,52.755501,218.571869,46337.609375,0.988279,54424.402344,8.118496,running
1.265744,-10.422493,-0.983450,19.882616,38.098934,53.322075,222.054260,46220.921875,0.985570,55291.523438,8.010842,running
